,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
2,,,600,599,1631,"[51, 76, 44, 45, 59, 46, 47, 50, 52, 77, 52]","[44, 45, 46, 47, 50, 51, 52, 52, 59, 76, 77]","[468, 313, 420, 287, 29, 297, 295, 294, 291, 182, 93]"
3,,,650,649,1750,"[51, 76, 45, 59, 106, 46, 47, 50, 52, 65, 52]","[45, 46, 47, 50, 51, 52, 52, 59, 65, 76, 106]","[468, 313, 287, 29, 215, 297, 295, 294, 291, 183, 93]"
4,,,700,700,1869,"[51, 76, 45, 85, 106, 46, 47, 50, 65, 77, 52]","[45, 46, 47, 50, 51, 52, 65, 76, 77, 85, 106]","[468, 313, 287, 239, 215, 297, 295, 294, 183, 182, 93]"
5,,,750,748,1978,"[76, 80, 59, 85, 106, 46, 50, 52, 65, 77, 52]","[46, 50, 52, 52, 59, 65, 76, 77, 80, 85, 106]","[313, 409, 29, 239, 215, 297, 294, 291, 183, 182, 93]"
6,,,800,795,2061,"[76, 80, 73, 85, 106, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 73, 76, 77, 80, 85, 106]","[313, 409, 113, 239, 215, 297, 183, 401, 181, 182, 93]"
7,,,850,847,2126,"[76, 80, 85, 106, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 76, 77, 80, 85, 106, 125]","[313, 409, 239, 215, 191, 297, 183, 401, 181, 182, 93]"
8,,,900,900,2163,"[76, 97, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 76, 77, 97, 106, 121, 125]","[313, 166, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
9,,,950,933,2170,"[97, 109, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 109, 121, 125]","[166, 11, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
10,,,1000,933,2170,"[97, 109, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 109, 121, 125]","[166, 11, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
0,,,500,500,1269,"[43, 43, 44, 45, 47, 45, 46, 46, 47, 50, 44]","[43, 43, 44, 44, 45, 45, 46, 46, 47, 47, 50]","[70, 470, 420, 287, 395, 293, 297, 423, 295, 294, 494]"
1,,,550,550,1481,"[51, 44, 45, 56, 59, 46, 47, 48, 50, 52, 52]","[44, 45, 46, 47, 48, 50, 51, 52, 52, 56, 59]","[468, 420, 287, 417, 29, 297, 295, 42, 294, 291, 93]"
2,,,600,600,1615,"[51, 45, 52, 56, 59, 46, 47, 50, 65, 77, 52]","[45, 46, 47, 50, 51, 52, 52, 56, 59, 65, 77]","[468, 287, 198, 417, 29, 297, 295, 294, 183, 182, 93]"
3,,,650,649,1740,"[76, 45, 47, 59, 85, 46, 47, 50, 65, 77, 52]","[45, 46, 47, 47, 50, 52, 59, 65, 76, 77, 85]","[313, 287, 395, 29, 239, 297, 295, 294, 183, 182, 93]"
4,,,700,699,1855,"[76, 45, 56, 59, 106, 46, 47, 65, 70, 77, 52]","[45, 46, 47, 52, 56, 59, 65, 70, 76, 77, 106]","[313, 287, 417, 29, 215, 297, 295, 183, 181, 182, 93]"
5,,,750,746,1960,"[76, 59, 60, 85, 106, 46, 50, 65, 70, 77, 52]","[46, 50, 52, 59, 60, 65, 70, 76, 77, 85, 106]","[313, 29, 463, 239, 215, 297, 294, 183, 181, 182, 93]"
6,,,800,797,2032,"[76, 73, 82, 85, 106, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 73, 76, 77, 82, 85, 106]","[313, 113, 150, 239, 215, 297, 183, 401, 181, 182, 93]"
7,,,850,840,2100,"[76, 73, 85, 106, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 73, 76, 77, 85, 106, 125]","[313, 113, 239, 215, 191, 297, 183, 401, 181, 182, 93]"
8,,,900,888,2153,"[76, 85, 106, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 76, 77, 85, 106, 121, 125]","[313, 239, 215, 192, 191, 297, 183, 401, 181, 182, 93]"
9,,,950,944,2169,"[97, 106, 120, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 120, 121, 125]","[166, 215, 214, 192, 191, 297, 183, 401, 181, 182, 93]"
10,,,1000,944,2169,"[97, 106, 120, 121, 125, 46, 65, 65, 70, 77, 52]","[46, 52, 65, 65, 70, 77, 97, 106, 120, 121, 125]","[166, 215, 214, 192, 191, 297, 183, 401, 181, 182, 93]"
0,,,500,500,1056,"[42, 42, 52, 42, 47, 47, 52, 43, 43, 44, 46]","[42, 42, 42, 43, 43, 44, 46, 47, 47, 52, 52]","[262, 50, 344, 23, 105, 557, 449, 16, 562, 201, 417]"
1,,,550,550,1399,"[52, 57, 66, 42, 47, 52, 54, 43, 43, 46, 48]","[42, 43, 43, 46, 47, 48, 52, 52, 54, 57, 66]","[344, 377, 202, 23, 105, 449, 481, 16, 562, 46, 213]"
2,,,600,600,1697,"[57, 63, 66, 52, 54, 55, 56, 43, 46, 55, 53]","[43, 46, 52, 53, 54, 55, 55, 56, 57, 63, 66]","[377, 514, 202, 449, 481, 271, 203, 16, 46, 200, 12]"
3,,,650,650,1812,"[57, 63, 66, 52, 54, 56, 96, 48, 50, 55, 53]","[48, 50, 52, 53, 54, 55, 56, 57, 63, 66, 96]","[377, 514, 202, 449, 481, 203, 390, 62, 42, 200, 12]"
4,,,700,697,1889,"[63, 66, 75, 54, 55, 56, 113, 50, 55, 57, 53]","[50, 53, 54, 55, 55, 56, 57, 63, 66, 75, 113]","[514, 202, 164, 481, 271, 203, 302, 42, 200, 435, 12]"
5,,,750,747,1973,"[63, 66, 119, 54, 55, 56, 96, 55, 57, 73, 53]","[53, 54, 55, 55, 56, 57, 63, 66, 73, 96, 119]","[514, 202, 388, 481, 271, 203, 390, 200, 435, 255, 12]"
6,,,800,799,2049,"[63, 66, 119, 55, 56, 96, 113, 50, 55, 73, 53]","[50, 53, 55, 55, 56, 63, 66, 73, 96, 113, 119]","[514, 202, 388, 271, 203, 390, 302, 42, 200, 255, 12]"
7,,,850,848,2092,"[63, 66, 119, 56, 96, 113, 129, 48, 50, 55, 53]","[48, 50, 53, 55, 56, 63, 66, 96, 113, 119, 129]","[514, 202, 388, 203, 390, 302, 254, 62, 42, 200, 12]"
8,,,900,900,2142,"[63, 66, 119, 55, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 55, 63, 66, 73, 78, 96, 113, 119, 129]","[514, 202, 388, 271, 390, 302, 254, 200, 255, 259, 12]"
9,,,950,940,2164,"[66, 102, 119, 56, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 56, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 203, 390, 302, 254, 200, 255, 259, 12]"
10,,,1000,980,2178,"[66, 102, 119, 96, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 66, 73, 78, 96, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 306, 302, 254, 200, 255, 259, 12]"
0,,"[3, 5, 2]",500,500,1086,"[42, 48, 42, 44, 47, 47, 52, 43, 43, 44, 48]","[42, 42, 43, 43, 44, 44, 47, 47, 48, 48, 52]","[262, 93, 23, 76, 105, 557, 449, 16, 562, 201, 213]"
1,,"[3, 5, 2]",550,550,1438,"[57, 66, 42, 47, 47, 52, 54, 43, 43, 46, 53]","[42, 43, 43, 46, 47, 47, 52, 53, 54, 57, 66]","[377, 202, 23, 105, 557, 449, 481, 16, 562, 46, 12]"
2,,"[3, 5, 2]",600,599,1718,"[63, 66, 47, 52, 54, 55, 56, 48, 50, 55, 53]","[47, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[514, 202, 105, 449, 481, 271, 203, 62, 42, 200, 12]"
3,,"[3, 5, 2]",650,648,1832,"[63, 66, 52, 54, 55, 56, 96, 48, 50, 55, 53]","[48, 50, 52, 53, 54, 55, 55, 56, 63, 66, 96]","[514, 202, 449, 481, 271, 203, 390, 62, 42, 200, 12]"
4,,"[3, 5, 2]",700,697,1894,"[63, 66, 52, 54, 55, 56, 113, 55, 57, 73, 53]","[52, 53, 54, 55, 55, 56, 57, 63, 66, 73, 113]","[514, 202, 449, 481, 271, 203, 302, 200, 435, 255, 12]"
5,,"[3, 5, 2]",750,746,1978,"[63, 66, 55, 56, 59, 96, 113, 55, 57, 73, 53]","[53, 55, 55, 56, 57, 59, 63, 66, 73, 96, 113]","[514, 202, 271, 203, 370, 390, 302, 200, 435, 255, 12]"
6,,"[3, 5, 2]",800,797,2049,"[66, 119, 54, 55, 56, 96, 113, 55, 57, 73, 53]","[53, 54, 55, 55, 56, 57, 66, 73, 96, 113, 119]","[202, 388, 481, 271, 203, 390, 302, 200, 435, 255, 12]"
7,,"[3, 5, 2]",850,849,2104,"[66, 119, 55, 56, 96, 113, 129, 50, 55, 57, 53]","[50, 53, 55, 55, 56, 57, 66, 96, 113, 119, 129]","[202, 388, 271, 203, 390, 302, 254, 42, 200, 435, 12]"
8,,"[3, 5, 2]",900,893,2134,"[66, 119, 55, 56, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 55, 56, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 271, 203, 390, 302, 254, 200, 255, 259, 12]"
9,,"[3, 5, 2]",950,934,2151,"[66, 119, 56, 96, 96, 113, 129, 55, 73, 78, 53]","[53, 55, 56, 66, 73, 78, 96, 96, 113, 119, 129]","[202, 388, 203, 390, 306, 302, 254, 200, 255, 259, 12]"
10,,"[3, 5, 2]",1000,996,2167,"[66, 119, 96, 96, 113, 118, 129, 55, 73, 78, 53]","[53, 55, 66, 73, 78, 96, 96, 113, 118, 119, 129]","[202, 388, 390, 306, 302, 251, 254, 200, 255, 259, 12]"
0,,,500,500,1071,"[42, 42, 57, 42, 47, 52, 40, 43, 43, 44, 48]","[40, 42, 42, 42, 43, 43, 44, 47, 48, 52, 57]","[262, 50, 377, 23, 105, 449, 211, 16, 562, 201, 213]"
1,,,550,550,1421,"[52, 57, 66, 47, 47, 52, 43, 43, 44, 46, 53]","[43, 43, 44, 46, 47, 47, 52, 52, 53, 57, 66]","[344, 377, 202, 105, 557, 449, 16, 562, 201, 46, 12]"
2,,,600,600,1703,"[57, 63, 66, 52, 54, 56, 46, 48, 50, 55, 53]","[46, 48, 50, 52, 53, 54, 55, 56, 57, 63, 66]","[377, 514, 202, 449, 481, 203, 46, 62, 42, 200, 12]"
3,,,650,650,1799,"[57, 63, 66, 52, 55, 96, 48, 48, 55, 57, 53]","[48, 48, 52, 53, 55, 55, 57, 57, 63, 66, 96]","[377, 514, 202, 449, 271, 390, 62, 558, 200, 435, 12]"
4,,,700,699,1881,"[63, 66, 75, 55, 56, 96, 50, 55, 57, 73, 53]","[50, 53, 55, 55, 56, 57, 63, 66, 73, 75, 96]","[514, 202, 164, 271, 203, 390, 42, 200, 435, 255, 12]"
5,,,750,750,1960,"[63, 66, 119, 54, 56, 96, 55, 57, 58, 73, 53]","[53, 54, 55, 56, 57, 58, 63, 66, 73, 96, 119]","[514, 202, 388, 481, 203, 390, 200, 435, 313, 255, 12]"
6,,,800,800,2042,"[63, 66, 119, 55, 96, 113, 50, 55, 57, 73, 53]","[50, 53, 55, 55, 57, 63, 66, 73, 96, 113, 119]","[514, 202, 388, 271, 390, 302, 42, 200, 435, 255, 12]"
7,,,850,849,2085,"[63, 66, 119, 96, 113, 129, 48, 50, 55, 57, 53]","[48, 50, 53, 55, 57, 63, 66, 96, 113, 119, 129]","[514, 202, 388, 390, 302, 254, 62, 42, 200, 435, 12]"
8,,,900,895,2123,"[63, 66, 119, 96, 113, 129, 50, 55, 73, 78, 53]","[50, 53, 55, 63, 66, 73, 78, 96, 113, 119, 129]","[514, 202, 388, 390, 302, 254, 42, 200, 255, 259, 12]"
9,,,950,941,2157,"[66, 102, 119, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 302, 254, 200, 435, 255, 259, 12]"
10,,,1000,941,2157,"[66, 102, 119, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 102, 113, 119, 129]","[202, 224, 388, 390, 302, 254, 200, 435, 255, 259, 12]"
0,,,500,500,1118,"[42, 52, 42, 47, 47, 52, 40, 43, 43, 44, 48]","[40, 42, 42, 43, 43, 44, 47, 47, 48, 52, 52]","[262, 344, 23, 105, 557, 449, 211, 16, 562, 201, 213]"
1,,,550,550,1458,"[57, 66, 47, 47, 52, 54, 43, 43, 44, 44, 53]","[43, 43, 44, 44, 47, 47, 52, 53, 54, 57, 66]","[377, 202, 105, 557, 449, 481, 16, 562, 201, 92, 12]"
2,,,600,600,1732,"[63, 66, 52, 54, 55, 56, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 54, 55, 55, 56, 63, 66]","[514, 202, 449, 481, 271, 203, 62, 558, 42, 200, 12]"
3,,,650,650,1828,"[63, 66, 52, 54, 56, 96, 48, 50, 55, 57, 53]","[48, 50, 52, 53, 54, 55, 56, 57, 63, 66, 96]","[514, 202, 449, 481, 203, 390, 62, 42, 200, 435, 12]"
4,,,700,700,1894,"[63, 66, 52, 56, 96, 113, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 55, 56, 63, 66, 96, 113]","[514, 202, 449, 203, 390, 302, 62, 558, 42, 200, 12]"
5,,,750,745,1966,"[63, 66, 55, 56, 96, 113, 55, 57, 58, 73, 53]","[53, 55, 55, 56, 57, 58, 63, 66, 73, 96, 113]","[514, 202, 271, 203, 390, 302, 200, 435, 313, 255, 12]"
6,,,800,800,2036,"[66, 119, 54, 56, 96, 113, 55, 57, 58, 73, 53]","[53, 54, 55, 56, 57, 58, 66, 73, 96, 113, 119]","[202, 388, 481, 203, 390, 302, 200, 435, 313, 255, 12]"
7,,,850,850,2084,"[66, 119, 54, 96, 113, 129, 50, 55, 57, 58, 53]","[50, 53, 54, 55, 57, 58, 66, 96, 113, 119, 129]","[202, 388, 481, 390, 302, 254, 42, 200, 435, 313, 12]"
8,,,900,895,2130,"[66, 119, 56, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 56, 57, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 203, 390, 302, 254, 200, 435, 255, 259, 12]"
9,,,950,935,2144,"[66, 119, 96, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 96, 113, 119, 129]","[202, 388, 390, 306, 302, 254, 200, 435, 255, 259, 12]"
10,,,1000,957,2146,"[66, 119, 96, 113, 118, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 66, 73, 78, 96, 113, 118, 119, 129]","[202, 388, 390, 302, 251, 254, 200, 435, 255, 259, 12]"
0,,,500,500,1158,"[42, 42, 47, 47, 52, 54, 38, 43, 43, 44, 48]","[38, 42, 42, 43, 43, 44, 47, 47, 48, 52, 54]","[262, 23, 105, 557, 449, 481, 146, 16, 562, 201, 213]"
1,,,550,550,1494,"[66, 47, 47, 52, 54, 55, 43, 43, 44, 46, 53]","[43, 43, 44, 46, 47, 47, 52, 53, 54, 55, 66]","[202, 105, 557, 449, 481, 271, 16, 562, 201, 46, 12]"
2,,,600,596,1720,"[66, 52, 54, 55, 56, 59, 48, 48, 50, 55, 53]","[48, 48, 50, 52, 53, 54, 55, 55, 56, 59, 66]","[202, 449, 481, 271, 203, 370, 62, 558, 42, 200, 12]"
3,,,650,649,1826,"[66, 54, 55, 56, 59, 96, 48, 50, 55, 57, 53]","[48, 50, 53, 54, 55, 55, 56, 57, 59, 66, 96]","[202, 481, 271, 203, 370, 390, 62, 42, 200, 435, 12]"
4,,,700,700,1904,"[66, 52, 54, 56, 96, 113, 48, 50, 55, 57, 53]","[48, 50, 52, 53, 54, 55, 56, 57, 66, 96, 113]","[202, 449, 481, 203, 390, 302, 62, 42, 200, 435, 12]"
5,,,750,741,1954,"[66, 55, 56, 59, 96, 113, 55, 57, 58, 73, 53]","[53, 55, 55, 56, 57, 58, 59, 66, 73, 96, 113]","[202, 271, 203, 370, 390, 302, 200, 435, 313, 255, 12]"
6,,,800,800,2013,"[66, 52, 56, 96, 113, 129, 50, 55, 57, 73, 53]","[50, 52, 53, 55, 56, 57, 66, 73, 96, 113, 129]","[202, 449, 203, 390, 302, 254, 42, 200, 435, 255, 12]"
7,,,850,850,2058,"[119, 55, 56, 96, 113, 129, 55, 57, 58, 59, 53]","[53, 55, 55, 56, 57, 58, 59, 96, 113, 119, 129]","[388, 271, 203, 390, 302, 254, 200, 435, 313, 556, 12]"
8,,,900,884,2093,"[119, 55, 56, 96, 113, 129, 55, 57, 73, 78, 53]","[53, 55, 55, 56, 57, 73, 78, 96, 113, 119, 129]","[388, 271, 203, 390, 302, 254, 200, 435, 255, 259, 12]"
9,,,950,947,2112,"[119, 56, 96, 113, 118, 129, 55, 57, 73, 78, 53]","[53, 55, 56, 57, 73, 78, 96, 113, 118, 119, 129]","[388, 203, 390, 302, 251, 254, 200, 435, 255, 259, 12]"
10,,,1000,987,2126,"[119, 96, 96, 113, 118, 129, 55, 57, 73, 78, 53]","[53, 55, 57, 73, 78, 96, 96, 113, 118, 119, 129]","[388, 390, 306, 302, 251, 254, 200, 435, 255, 259, 12]"
0,,,500,500,1141,"[42, 52, 42, 47, 52, 43, 43, 43, 44, 46, 46]","[42, 42, 43, 43, 43, 44, 46, 46, 47, 52, 52]","[262, 344, 23, 105, 449, 16, 562, 67, 201, 46, 417]"
1,,,550,550,1474,"[57, 66, 47, 52, 54, 43, 43, 43, 44, 48, 53]","[43, 43, 43, 44, 47, 48, 52, 53, 54, 57, 66]","[377, 202, 105, 449, 481, 16, 562, 67, 201, 62, 12]"
2,,,600,600,1719,"[63, 66, 52, 54, 56, 46, 48, 50, 55, 57, 53]","[46, 48, 50, 52, 53, 54, 55, 56, 57, 63, 66]","[514, 202, 449, 481, 203, 46, 62, 42, 200, 435, 12]"
3,,,650,647,1813,"[63, 66, 55, 56, 96, 48, 48, 50, 55, 57, 53]","[48, 48, 50, 53, 55, 55, 56, 57, 63, 66, 96]","[514, 202, 271, 203, 390, 62, 558, 42, 200, 435, 12]"
4,,,700,700,1879,"[63, 66, 55, 96, 113, 44, 48, 50, 55, 57, 53]","[44, 48, 50, 53, 55, 55, 57, 63, 66, 96, 113]","[514, 202, 271, 390, 302, 201, 62, 42, 200, 435, 12]"
5,,,750,749,1951,"[63, 66, 56, 96, 113, 55, 57, 58, 59, 73, 53]","[53, 55, 56, 57, 58, 59, 63, 66, 73, 96, 113]","[514, 202, 203, 390, 302, 200, 435, 313, 556, 255, 12]"
6,,,800,796,2021,"[66, 119, 56, 96, 113, 50, 55, 57, 58, 73, 53]","[50, 53, 55, 56, 57, 58, 66, 73, 96, 113, 119]","[202, 388, 203, 390, 302, 42, 200, 435, 313, 255, 12]"
7,,,850,844,2061,"[66, 119, 96, 113, 129, 48, 50, 55, 57, 58, 53]","[48, 50, 53, 55, 57, 58, 66, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 62, 42, 200, 435, 313, 12]"
8,,,900,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
9,,,950,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
10,,,1000,897,2114,"[66, 119, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 66, 73, 78, 96, 113, 119, 129]","[202, 388, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
0,,,500,500,1182,"[42, 42, 47, 47, 52, 43, 43, 44, 46, 48, 46]","[42, 42, 43, 43, 44, 46, 46, 47, 47, 48, 52]","[262, 23, 105, 557, 449, 16, 562, 201, 46, 62, 417]"
1,,,550,550,1508,"[66, 47, 47, 52, 54, 43, 43, 44, 46, 55, 53]","[43, 43, 44, 46, 47, 47, 52, 53, 54, 55, 66]","[202, 105, 557, 449, 481, 16, 562, 201, 46, 200, 12]"
2,,,600,599,1720,"[66, 52, 55, 56, 59, 48, 48, 50, 55, 57, 53]","[48, 48, 50, 52, 53, 55, 55, 56, 57, 59, 66]","[202, 449, 271, 203, 370, 62, 558, 42, 200, 435, 12]"
3,,,650,648,1814,"[66, 54, 55, 56, 96, 48, 50, 55, 57, 58, 53]","[48, 50, 53, 54, 55, 55, 56, 57, 58, 66, 96]","[202, 481, 271, 203, 390, 62, 42, 200, 435, 313, 12]"
4,,,700,697,1889,"[66, 55, 56, 96, 113, 48, 48, 50, 55, 57, 53]","[48, 48, 50, 53, 55, 55, 56, 57, 66, 96, 113]","[202, 271, 203, 390, 302, 62, 558, 42, 200, 435, 12]"
5,,,750,750,1945,"[66, 54, 55, 96, 113, 50, 55, 57, 73, 78, 53]","[50, 53, 54, 55, 55, 57, 66, 73, 78, 96, 113]","[202, 481, 271, 390, 302, 42, 200, 435, 255, 259, 12]"
6,,,800,796,1996,"[66, 56, 96, 113, 129, 48, 50, 55, 57, 73, 53]","[48, 50, 53, 55, 56, 57, 66, 73, 96, 113, 129]","[202, 203, 390, 302, 254, 62, 42, 200, 435, 255, 12]"
7,,,850,849,2044,"[119, 56, 96, 113, 129, 48, 50, 55, 57, 73, 53]","[48, 50, 53, 55, 56, 57, 73, 96, 113, 119, 129]","[388, 203, 390, 302, 254, 62, 42, 200, 435, 255, 12]"
8,,,900,887,2080,"[119, 56, 96, 113, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 56, 57, 58, 73, 78, 96, 113, 119, 129]","[388, 203, 390, 302, 254, 200, 435, 313, 255, 259, 12]"
9,,,950,949,2096,"[119, 96, 113, 118, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 73, 78, 96, 113, 118, 119, 129]","[388, 390, 302, 251, 254, 200, 435, 313, 255, 259, 12]"
10,,,1000,949,2096,"[119, 96, 113, 118, 129, 55, 57, 58, 73, 78, 53]","[53, 55, 57, 58, 73, 78, 96, 113, 118, 119, 129]","[388, 390, 302, 251, 254, 200, 435, 313, 255, 259, 12]"
